61,81060772,61093644,81048007,61083897,1659450.000,1267110.000,1659450.000,1267110.000,161,97
62,81061526,61093645,81048798,61084111,1654640.000,1239420.000,1654640.000,1239420.000,162,95
63,81062317,61093645,81049635,61084343,1648660.000,1209260.000,1648660.000,1209260.000,161,96
64,81063108,61093646,81050478,61084588,1641900.000,1177540.000,1641900.000,1177540.000,162,95
65,81063899,61093647,81051347,61084846,1631760.000,1144130.000,1631760.000,1144130.000,161,93
66,81064728,61093647,81052248,61085117,1622400.000,1108900.000,1622400.000,1108900.000,159,91
67,81065557,61093648,81053152,61085393,1612650.000,1073150.000,1612650.000,1073150.000,159,91
68,81066386,61093649,81054082,61085663,1599520.000,1038180.000,1599520.000,1038180.000,159,90
69,81067252,61093650,81055030,61085924,1588860.000,1004380.000,1588860.000,1004380.000,159,91
70,81068118,61093651,81055991,61086160,1576510.000,973830.000,1576510.000,973830.000,159,89
71,81068985,61093652,81056972,61086368,1561690.000,946920.000,1561690.000,946920.000,158,92
72,81069889,61093653,81057957,61086549,1551160.000,923520.000,1551160.000,923520.000,159,91
73,81070793,61093654,81058942,61086703,1540630.000,903630.000,1540630.000,903630.000,158,95
74,81071697,61093655,81059948,61086831,1527370.000,887120.000,1527370.000,887120.000,158,97
75,81072639,61093655,81060939,61086931,1521000.000,874120.000,1521000.000,874120.000,158,100
76,81073581,61093656,81061930,61087014,1514630.000,863460.000,1514630.000,863460.000,156,102
77,81074523,61093657,81062907,61087088,1510080.000,853970.000,1510080.000,853970.000,159,101
78,81075502,61093658,81063873,61087135,1511770.000,847990.000,1511770.000,847990.000,161,105
79,81076481,61093660,81064847,61087180,1512420.000,842400.000,1512420.000,842400.000,162,108
80,81077461,61093662,81065807,61087218,1515020.000,837720.000,1515020.000,837720.000,162,108
81,81078478,61093663,81066792,61087248,1519180.000,833950.000,1519180.000,833950.000,164,110
82,81079495,61093664,81067766,61087279,1524770.000,830050.000,1524770.000,830050.000,164,109
83,81080513,61093666,81068739,61087313,1530620.000,825890.000,1530620.000,825890.000,164,112
84,81081567,61093667,81069719,61087351,1540240.000,821080.000,1540240.000,821080.000,167,111
85,81082622,61093668,81070687,61087408,1551550.000,813800.000,1551550.000,813800.000,167,113
86,81083677,61093670,81071674,61087481,1560390.000,804570.000,1560390.000,804570.000,169,113
87,81084769,61093672,81072669,61087579,1573000.000,792090.000,1573000.000,792090.000,170,114
88,81085862,61093674,81073679,61087703,1583790.000,776230.000,1583790.000,776230.000,172,113
89,81086955,61093676,81074701,61087851,1593020.000,757250.000,1593020.000,757250.000,170,110
90,81088085,61093677,81075736,61088033,1605370.000,733720.000,1605370.000,733720.000,176,110
91,81089215,61093679,81076810,61088232,1612650.000,708110.000,1612650.000,708110.000,174,109
92,81090345,61093681,81077904,61088448,1617330.000,680290.000,1617330.000,680290.000,172,105
93,81091512,61093683,81079003,61088675,1626170.000,651040.000,1626170.000,651040.000,175,104
94,81092680,61093685,81080115,61088911,1633450.000,620620.000,1633450.000,620620.000,175,104
95,81093848,61093687,81081244,61089158,1638520.000,588770.000,1638520.000,588770.000,175,100
96,81095053,61093689,81082387,61089396,1646580.000,558090.000,1646580.000,558090.000,176,99
97,81096259,61093691,81083553,61089635,1651780.000,527280.000,1651780.000,527280.000,177,98
98,81097465,61093694,81084728,61089869,1655810.000,497250.000,1655810.000,497250.000,176,98
99,81098708,61093696,81085917,61090086,1662830.000,469300.000,1662830.000,469300.000,178,95
100,81099951,61093699,81087117,61090289,1668420.000,443300.000,1668420.000,443300.000,176,95
101,81101194,61093702,81088337,61090473,1671410.000,419770.000,1671410.000,419770.000,177,95
102,81102474,61093705,81089587,61090638,1675310.000,398710.000,1675310.000,398710.000,177,98
103,81103755,61093708,81090857,61090778,1676740.000,380900.000,1676740.000,380900.000,176,96
104,81105036,61093711,81092142,61090878,1676220.000,368290.000,1676220.000,368290.000,176,97
105,81106354,61093714,81093469,61090951,1675050.000,359190.000,1675050.000,359190.000,174,97
106,81107673,61093717,81094792,61090997,1674530.000,353600.000,1674530.000,353600.000,176,103
107,81108992,61093720,81096119,61091021,1673490.000,350870.000,1673490.000,350870.000,175,103
108,81110348,61093723,81097444,61091036,1677520.000,349310.000,1677520.000,349310.000,176,104
109,81111704,61093726,81098778,61091037,1680380.000,349570.000,1680380.000,349570.000,176,104
110,81113061,61093729,81100123,61091044,1681940.000,349050.000,1681940.000,349050.000,176,104
111,81114454,61093732,81101463,61091052,1688830.000,348400.000,1688830.000,348400.000,177,108
112,81115848,61093736,81102811,61091063,1694810.000,347490.000,1694810.000,347490.000,176,108
113,81117242,61093740,81104175,61091081,1698710.000,345670.000,1698710.000,345670.000,179,108
114,81118673,61093744,81105546,61091101,1706510.000,343590.000,1706510.000,343590.000,180,108
115,81120105,61093748,81106932,61091121,1712490.000,341510.000,1712490.000,341510.000,178,108
116,81121537,61093752,81108316,61091148,1718730.000,338520.000,1718730.000,338520.000,177,107
117,81123006,61093756,81109719,61091170,1727310.000,336180.000,1727310.000,336180.000,177,108
118,81124475,61093760,81111119,61091196,1736280.000,333320.000,1736280.000,333320.000,180,108
119,81125944,61093764,81112512,61091226,1746160.000,329940.000,1746160.000,329940.000,182,108
120,81127451,61093768,81113913,61091256,1759940.000,326560.000,1759940.000,326560.000,182,108
121,81128958,61093773,81115328,61091300,1771900.000,321490.000,1771900.000,321490.000,184,108
122,81130465,61093778,81116763,61091341,1781260.000,316810.000,1781260.000,316810.000,183,110
123,81132009,61093782,81118221,61091401,1792440.000,309530.000,1792440.000,309530.000,184,108
124,81133553,61093787,81119684,61091462,1802970.000,302250.000,1802970.000,302250.000,184,108
125,81135098,61093792,81121180,61091527,1809340.000,294450.000,1809340.000,294450.000,184,108
126,81136680,61093797,81122693,61091601,1818310.000,285480.000,1818310.000,285480.000,184,107
127,81138262,61093802,81124215,61091667,1826110.000,277550.000,1826110.000,277550.000,185,108
128,81139845,61093808,81125771,61091738,1829620.000,269100.000,1829620.000,269100.000,184,108
129,81141464,61093813,81127325,61091808,1838070.000,260650.000,1838070.000,260650.000,184,108
130,81143084,61093818,81128897,61091872,1844310.000,252980.000,1844310.000,252980.000,184,109
131,81144704,61093824,81130462,61091931,1851460.000,246090.000,1851460.000,246090.000,183,109
132,81146361,61093830,81132035,61091987,1862380.000,239590.000,1862380.000,239590.000,185,108
133,81148019,61093836,81133629,61092030,1870700.000,234780.000,1870700.000,234780.000,184,108
134,81149677,61093843,81135229,61092079,1878240.000,229320.000,1878240.000,229320.000,186,108
