92.985,20.191,20.12
90.674,13.996,13.897
90.086,10.964,10.845
94.528,17.694,17.622
92.268,17.472,17.4
89.761,12.923,12.824
92.123,17.151,17.072
91.112,11.745,11.629
89.809,20,19.931
89.257,12.354,12.25
94.475,16.985,16.9
92.439,19.707,19.637
89.708,13.425,13.328
93.052,15.483,15.392
90.965,14.415,14.325
94.683,22.443,22.381
94.555,15.561,15.48
87.825,9.4659,9.3322
91.537,12.972,12.866
90.277,10.054,9.9263
94.053,13.275,13.18
90.143,15.321,15.235
93.149,19.859,19.79
87.672,7.4489,7.2856
92.456,18.151,18.079
92.739,21.597,21.528
90.792,12.675,12.569
93.029,11.581,11.466
94.225,18.894,18.822
93.369,19.9,19.831
87.722,9.5628,9.426
89.685,10.706,10.586
90.124,12.828,12.724
89.785,12.057,11.947
88.988,10.161,10.033
95.888,22.064,22.004
89.346,9.8068,9.675
90.735,12.474,12.366
91.441,13.031,12.93
87.07,14.293,14.204
90.494,12.145,12.035
92.301,16.744,16.662
90.984,11.975,11.863
98.176,26.596,26.538
91.251,12.64,12.535
92.94,17.548,17.47
92.046,15.669,15.577
91.895,12.757,12.649
88.038,7.5787,7.4187
91.292,15.356,15.267
93.824,15.962,15.876
87.65,13.317,13.221
93.975,21.517,21.452
89.49,7.2986,7.1334
89.155,10.317,10.195
86.088,14.115,14.027
92.121,15.44,15.352
93.031,14.73,14.644
89.198,14.925,14.843
98.854,28.545,28.493
89.428,12.12,12.012
95.132,21.027,20.955
95.596,16.9,16.825
89.734,10.615,10.494
90.05,9.698,9.5647
95.082,24.481,24.422
89.68,10.329,10.202
95.601,20.781,20.711
88.067,7.7794,7.6188
90.684,12.267,12.157
92.342,18.013,17.935
89.511,16.896,16.816
93.105,16.739,16.652
96.081,20.526,20.457
96.142,24.275,24.214
90.755,11.091,10.974
91.058,11.671,11.551
96.003,22.456,22.393
93.479,21.212,21.145
91.288,14.605,14.509
89.595,12.57,12.468
91.778,13.803,13.708
90.101,8.1946,8.0417
92.963,9.4189,9.2912
89.563,11.708,11.598
91.64,16.15,16.066
89.633,11.493,11.379
92.015,15.902,15.815
92.345,17.558,17.481
92.344,9.56,9.4384
90.188,13.616,13.518
89.255,10.245,10.12
90.356,13.947,13.85
92.107,14.659,14.566
92.213,14.383,14.284
90.613,11.661,11.547
