0.301,8644.483,-2709.3352,1955.352,2776.2583,2643.7424,2179.2786,1685.422,2166.5342,-360.0884,763.27606,-1387.5321,-386.45718,-1806.0027,-779.3639,-2519.1892
0.302,8641.793,-2720.969,1962.7997,2775.5234,2633.922,2175.3345,1684.1149,2160.9375,-365.2341,765.71075,-1388.777,-386.14285,-1806.9788,-771.7652,-2517.6694
0.303,8639.109,-2732.5999,1970.2733,2774.771,2624.0923,2171.4153,1682.7843,2155.325,-370.35834,768.1442,-1390.0449,-385.80865,-1807.9519,-764.19714,-2516.1519
0.304,8636.434,-2744.227,1977.7733,2773.9995,2614.255,2167.521,1681.4297,2149.6987,-375.46072,770.5753,-1391.3357,-385.4547,-1808.9221,-756.6622,-2514.6382
0.305,8633.766,-2755.851,1985.2987,2773.2107,2604.4087,2163.6523,1680.0519,2144.0562,-380.54077,773.0045,-1392.6492,-385.08084,-1809.8901,-749.1594,-2513.1265
0.306,8631.106,-2767.4712,1992.8499,2772.4033,2594.5557,2159.8093,1678.6509,2138.4001,-385.5981,775.4307,-1393.9857,-384.68668,-1810.8557,-741.689,-2511.6184
0.307,8628.453,-2779.088,2000.4255,2771.5771,2584.6948,2155.9922,1677.2264,2132.7285,-390.6327,777.8551,-1395.3453,-384.27246,-1811.8192,-734.25,-2510.1128
0.308,8625.809,-2790.7,2008.0259,2770.7327,2574.8262,2152.2012,1675.7794,2127.0427,-395.64374,780.2756,-1396.7274,-383.8379,-1812.781,-726.84204,-2508.6099
0.309,8623.171,-2802.3071,2015.6501,2769.8694,2564.951,2148.4368,1674.3086,2121.343,-400.63113,782.6933,-1398.1326,-383.38284,-1813.74,-719.46643,-2507.111
0.31,8620.54,-2813.9104,2023.2996,2768.9883,2555.068,2144.699,1672.8152,2115.6282,-405.5945,785.10767,-1399.5603,-382.9075,-1814.6984,-712.1212,-2505.6143
0.311,8617.916,-2825.509,2030.972,2768.0889,2545.179,2140.9885,1671.2991,2109.8997,-410.53345,787.5184,-1401.0111,-382.41153,-1815.6547,-704.8067,-2504.1208
0.312,8615.298,-2837.1018,2038.668,2767.1697,2535.2834,2137.305,1669.7604,2104.1567,-415.44803,789.9255,-1402.484,-381.89487,-1816.6099,-697.5237,-2502.6304
0.313,8612.687,-2848.69,2046.3875,2766.2322,2525.3813,2133.649,1668.199,2098.4001,-420.33685,792.3283,-1403.9805,-381.35733,-1817.5642,-690.27124,-2501.1438
0.314,8610.081,-2860.2727,2054.129,2765.2761,2515.4724,2130.0203,1666.6155,2092.6294,-425.20074,794.7266,-1405.4987,-380.79886,-1818.5175,-683.04803,-2499.6594
0.315,8607.483,-2871.8484,2061.8938,2764.3018,2505.5586,2126.42,1665.0094,2086.8447,-430.03845,797.12036,-1407.0399,-380.21918,-1819.4705,-675.85583,-2498.1794
0.316,8604.891,-2883.4197,2069.6804,2763.3083,2495.6387,2122.8474,1663.3813,2081.0464,-434.8503,799.5096,-1408.6033,-379.61868,-1820.4226,-668.691,-2496.7026
0.317,8602.304,-2894.9841,2077.489,2762.297,2485.7134,2119.3037,1661.7317,2075.2349,-439.6354,801.893,-1410.1895,-378.9972,-1821.3748,-661.5568,-2495.2297
0.318,8599.723,-2906.5422,2085.3188,2761.2659,2475.7832,2115.7883,1660.0597,2069.4094,-444.39383,804.2716,-1411.7976,-378.35434,-1822.3264,-654.4521,-2493.7607
0.319,8597.1455,-2918.0942,2093.1702,2760.2166,2465.847,2112.3018,1658.3663,2063.5703,-449.12506,806.6445,-1413.4282,-377.69,-1823.2788,-647.3765,-2492.2944
0.32,8594.574,-2929.639,2101.0422,2759.1484,2455.9065,2108.844,1656.6514,2057.7183,-453.8287,809.01184,-1415.0809,-377.00455,-1824.2313,-640.3282,-2490.8315
0.321,8592.009,-2941.1772,2108.935,2758.0603,2445.961,2105.4158,1654.9149,2051.8525,-458.50473,811.3731,-1416.7555,-376.29718,-1825.1846,-633.30786,-2489.3733
0.322,8589.447,-2952.7075,2116.8472,2756.9546,2436.0115,2102.0166,1653.1576,2045.9745,-463.15274,813.7277,-1418.4525,-375.56863,-1826.1388,-626.3156,-2487.9197
0.323,8586.891,-2964.2312,2124.7805,2755.8296,2426.0571,2098.6472,1651.3792,2040.0829,-467.77206,816.076,-1420.1711,-374.81805,-1827.0938,-619.3509,-2486.4685
0.324,8584.339,-2975.747,2132.7322,2754.6855,2416.0994,2095.3076,1649.5798,2034.1788,-472.36252,818.4173,-1421.9115,-374.04608,-1828.0507,-612.41315,-2485.022
0.325,8581.79,-2987.2546,2140.7034,2753.5225,2406.1375,2091.998,1647.7599,2028.2615,-476.92395,820.7513,-1423.6736,-373.25198,-1829.0088,-605.50146,-2483.58
0.326,8579.246,-2998.7551,2148.694,2752.341,2396.1719,2088.7183,1645.9191,2022.3315,-481.45615,823.0783,-1425.4574,-372.43625,-1829.9688,-598.617,-2482.1418
0.327,8576.706,-3010.247,2156.702,2751.141,2386.203,2085.4692,1644.0582,2016.3888,-485.95865,825.39746,-1427.2628,-371.59833,-1830.9304,-591.7579,-2480.7078
0.328,8574.17,-3021.7307,2164.7297,2749.9211,2376.23,2082.2505,1642.1764,2010.4338,-490.43088,827.70905,-1429.0895,-370.7384,-1831.8943,-584.9248,-2479.278
0.329,8571.637,-3033.2056,2172.7742,2748.6833,2366.2551,2079.0623,1640.2755,2004.4662,-494.87274,830.0124,-1430.9373,-369.85645,-1832.8617,-578.11646,-2477.8533
